,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
149,2015-08-12,sz.399001,13201.5400,13396.3300,13117.1000,13117.1000,13323.0800,28511379200,506701000000.0000,3,0.053904,1,-1.546071,,,,,
150,2015-08-13,sz.399001,13069.9800,13395.1800,12962.0000,13395.1800,13117.1000,28706246400,497722000000.0000,3,0.054272,1,2.119944,,,,,
151,2015-08-14,sz.399001,13497.1600,13606.3300,13378.5900,13445.8700,13395.1800,32679516800,574009000000.0000,3,0.061778,1,0.378481,,,,,
152,2015-08-17,sz.399001,13417.3300,13585.9600,13309.5400,13573.9000,13445.8700,32680921600,560388000000.0000,3,0.061775,1,0.952176,,,,,
153,2015-08-18,sz.399001,13608.5200,13652.5400,12634.9500,12683.8600,13573.9000,38903491200,667274000000.0000,3,0.073535,1,-6.557045,,,,,
154,2015-08-19,sz.399001,12328.6000,13028.5000,12049.9200,12960.6600,12683.8600,33174854400,547112000000.0000,3,0.062707,1,2.182331,,,,,
155,2015-08-20,sz.399001,12864.8300,13040.3600,12582.2400,12584.5800,12960.6600,28375574400,480881000000.0000,3,0.053518,1,-2.901720,,,,,
156,2015-08-21,sz.399001,12355.2700,12511.4200,11891.8400,11902.0500,12584.5800,26016078400,418791000000.0000,3,0.049029,1,-5.423553,,,,,
157,2015-08-24,sz.399001,11399.6600,11446.1000,10964.0900,10970.2900,11902.0500,19382936000,272872000000.0000,3,0.036529,1,-7.828535,,,,,
158,2015-08-25,sz.399001,10212.4700,10529.9200,10168.4200,10197.9400,10970.2900,21874675200,287967000000.0000,3,0.041224,1,-7.040411,,,,,
159,2015-08-26,sz.399001,10199.9000,10559.2400,9776.2100,9899.7190,10197.9400,32672716800,432234000000.0000,3,0.061574,1,-2.924295,,,,,
160,2015-08-27,sz.399001,10076.0900,10254.3500,9713.9860,10254.3500,9899.7190,27196185600,361016000000.0000,3,0.051253,1,3.582222,,,,,
161,2015-08-28,sz.399001,10397.9700,10826.1900,10311.3700,10800.0000,10254.3500,31598857600,424998000000.0000,3,0.059451,1,5.321132,,,,,
162,2015-08-31,sz.399001,10706.2300,10706.2300,10398.3300,10549.1600,10800.0000,26670256000,365362000000.0000,3,0.050114,1,-2.322529,,,,,
163,2015-09-01,sz.399001,10388.5000,10388.5000,9954.5770,10162.5200,10549.1600,24629145600,305204000000.0000,3,0.046172,1,-3.665196,,,,,
164,2015-09-02,sz.399001,9694.4770,10319.4900,9682.7080,10054.8000,10162.5200,25917372800,325500000000.0000,3,0.048587,1,-1.059923,,,,,
165,2015-09-07,sz.399001,10121.8300,10404.2200,9933.5410,9991.7640,10054.8000,22854056000,299945000000.0000,3,0.042823,1,-0.626935,,,,,
166,2015-09-08,sz.399001,9898.6350,10341.3000,9763.9490,10320.2300,9991.7640,20042744000,260251000000.0000,3,0.037557,1,3.287327,,,,,
167,2015-09-09,sz.399001,10367.3500,10702.1800,10335.0200,10620.1300,10320.2300,31192592000,431876000000.0000,3,0.058450,1,2.906014,,,,,
168,2015-09-10,sz.399001,10449.9300,10618.8700,10406.0200,10424.6500,10620.1300,22531417600,311068000000.0000,3,0.042216,1,-1.840641,,,,,
169,2015-09-11,sz.399001,10408.4100,10555.6200,10332.4100,10463.6900,10424.6500,19046508800,263290000000.0000,3,0.035675,1,0.374478,,,,,
170,2015-09-14,sz.399001,10517.6800,10544.2800,9739.4210,9778.2340,10463.6900,24088272000,307477000000.0000,3,0.045096,1,-6.550823,,,,,
171,2015-09-15,sz.399001,9533.4500,9719.6620,9259.6480,9290.8070,9778.2340,19821443200,233710000000.0000,3,0.037106,1,-4.984824,,,,,
172,2015-09-16,sz.399001,9330.7550,9933.8300,9297.1980,9890.4290,9290.8070,23480100800,284792000000.0000,3,0.043926,1,6.453929,,,,,
173,2015-09-17,sz.399001,9872.0410,10147.1700,9739.8900,9739.8900,9890.4290,27371561600,360654000000.0000,3,0.051111,1,-1.522068,,,,,
174,2015-09-18,sz.399001,9806.7160,9914.5850,9691.0640,9850.7720,9739.8900,18768099200,254176000000.0000,3,0.034990,1,1.138440,,,,,
175,2015-09-21,sz.399001,9732.1220,10176.7300,9701.3250,10176.7300,9850.7720,22716785600,313439000000.0000,3,0.042189,1,3.308919,,,,,
